,station,date,prcp,tobs
3304,USC00513117,2011-08-07,0.01,76
3306,USC00513117,2011-08-09,0.16,76
3308,USC00513117,2011-08-11,0.06,75
3311,USC00513117,2011-08-14,0.04,75
3312,USC00513117,2011-08-15,0.03,75
3313,USC00513117,2011-08-16,0.05,74
3314,USC00513117,2011-08-17,0.12,75
3315,USC00513117,2011-08-18,0.02,75
3316,USC00513117,2011-08-19,0.04,75
3318,USC00513117,2011-08-21,0.03,75
3319,USC00513117,2011-08-22,0.28,72
3320,USC00513117,2011-08-23,0.21,74
3321,USC00513117,2011-08-24,0.06,75
3322,USC00513117,2011-08-25,0.03,74
3323,USC00513117,2011-08-26,0.08,74
3325,USC00513117,2011-08-28,0.09,74
3326,USC00513117,2011-08-29,0.24,76
3327,USC00513117,2011-08-30,0.16,74
3328,USC00513117,2011-08-31,0.02,76
3329,USC00513117,2011-09-01,0.13,78
3331,USC00513117,2011-09-18,0.05,76
3332,USC00513117,2011-09-19,0.04,76
3333,USC00513117,2011-09-20,0.03,75
3334,USC00513117,2011-09-21,0.07,76
3335,USC00513117,2011-09-22,0.1,75
3336,USC00513117,2011-09-23,0.08,72
3340,USC00513117,2011-09-28,0.03,74
3341,USC00513117,2011-09-29,0.02,76
3342,USC00513117,2011-09-30,0.11,75
3346,USC00513117,2011-10-04,0.01,77
3347,USC00513117,2011-10-05,0.07,77
3348,USC00513117,2011-10-06,0.05,76
3349,USC00513117,2011-10-07,0.11,72
3350,USC00513117,2011-10-08,0.03,76
3351,USC00513117,2011-10-09,0.07,76
3353,USC00513117,2011-10-11,0.04,75
3355,USC00513117,2011-10-13,0.11,74
3356,USC00513117,2011-10-14,0.06,75
3357,USC00513117,2011-10-15,0.15,75
3359,USC00513117,2011-10-17,0.03,71
3360,USC00513117,2011-10-18,0.32,70
3361,USC00513117,2011-10-19,0.08,68
3364,USC00513117,2011-10-22,0.3,73
3365,USC00513117,2011-10-23,1.56,72
3366,USC00513117,2011-10-24,4.47,70
3367,USC00513117,2011-10-25,0.01,75
3369,USC00513117,2011-10-27,0.04,70
3370,USC00513117,2011-10-28,0.04,74
3371,USC00513117,2011-10-29,0.05,77
3372,USC00513117,2011-10-30,0.03,72
3373,USC00513117,2011-10-31,0.33,71
3374,USC00513117,2011-11-01,0.8,72
3375,USC00513117,2011-11-02,0.1,73
3376,USC00513117,2011-11-03,0.19,76
3377,USC00513117,2011-11-04,0.62,75
3378,USC00513117,2011-11-05,0.06,75
3379,USC00513117,2011-11-06,0.01,76
3381,USC00513117,2011-11-08,0.05,74
3382,USC00513117,2011-11-09,0.03,74
3383,USC00513117,2011-11-10,0.04,74
3384,USC00513117,2011-11-11,0.16,75
3385,USC00513117,2011-11-12,0.07,73
3386,USC00513117,2011-11-13,0.01,69
3390,USC00513117,2011-11-17,0.01,75
3391,USC00513117,2011-11-18,0.04,74
3392,USC00513117,2011-11-19,0.03,74
3393,USC00513117,2011-11-20,0.02,74
3394,USC00513117,2011-11-21,0.38,74
3395,USC00513117,2011-11-22,0.03,74
3396,USC00513117,2011-11-23,0.08,74
3398,USC00513117,2011-11-25,0.05,71
3400,USC00513117,2011-11-27,0.07,72
3402,USC00513117,2011-11-29,0.03,72
3403,USC00513117,2011-11-30,0.36,66
3404,USC00513117,2011-12-01,0.11,69
3405,USC00513117,2011-12-02,0.14,68
3406,USC00513117,2011-12-03,0.03,74
3407,USC00513117,2011-12-04,0.01,73
3410,USC00513117,2011-12-07,0.04,71
3411,USC00513117,2011-12-08,0.08,71
3412,USC00513117,2011-12-09,0.07,68
3413,USC00513117,2011-12-10,0.11,72
3414,USC00513117,2011-12-11,0.76,71
3415,USC00513117,2011-12-12,0.58,72
3416,USC00513117,2011-12-13,1.55,71
3417,USC00513117,2011-12-14,0.05,71
3418,USC00513117,2011-12-15,0.02,72
3420,USC00513117,2011-12-17,0.02,71
3421,USC00513117,2011-12-18,0.11,72
3422,USC00513117,2011-12-19,0.05,72
3423,USC00513117,2011-12-20,0.02,72
3424,USC00513117,2011-12-21,0.24,69
3425,USC00513117,2011-12-22,0.06,71
3426,USC00513117,2011-12-23,0.02,71
3427,USC00513117,2011-12-24,0.02,69
3428,USC00513117,2011-12-25,0.05,74
3431,USC00513117,2011-12-28,0.03,71
3432,USC00513117,2011-12-29,0.01,72
3433,USC00513117,2011-12-30,0.02,71
3434,USC00513117,2011-12-31,0.04,67
3435,USC00513117,2012-01-01,0.01,67
3436,USC00513117,2012-01-02,0.04,65
3439,USC00513117,2012-01-05,0.01,72
3443,USC00513117,2012-01-09,0.01,71
3444,USC00513117,2012-01-10,0.01,71
3445,USC00513117,2012-01-11,0.05,68
3446,USC00513117,2012-01-12,0.04,66
3450,USC00513117,2012-01-16,0.2,76
3451,USC00513117,2012-01-17,0.06,76
3454,USC00513117,2012-01-21,0.01,72
3456,USC00513117,2012-01-23,0.03,65
3458,USC00513117,2012-01-25,0.02,73
3460,USC00513117,2012-01-27,0.1,69
3462,USC00513117,2012-01-29,0.01,73
3463,USC00513117,2012-01-30,0.06,71
3464,USC00513117,2012-01-31,0.01,71
3470,USC00513117,2012-02-06,0.04,66
3471,USC00513117,2012-02-07,0.28,70
3472,USC00513117,2012-02-08,0.5,63
3475,USC00513117,2012-02-11,0.01,71
3477,USC00513117,2012-02-13,0.01,71
3481,USC00513117,2012-02-17,0.12,71
3482,USC00513117,2012-02-18,0.01,70
3483,USC00513117,2012-02-19,0.07,69
3484,USC00513117,2012-02-20,0.01,71
3486,USC00513117,2012-02-22,0.05,71
3487,USC00513117,2012-02-23,0.04,71
3489,USC00513117,2012-02-25,0.01,68
3490,USC00513117,2012-02-26,0.23,72
3496,USC00513117,2012-03-03,0.05,70
3497,USC00513117,2012-03-04,0.03,70
3498,USC00513117,2012-03-05,5.71,65
3499,USC00513117,2012-03-06,2.33,67
3500,USC00513117,2012-03-07,2.41,66
3501,USC00513117,2012-03-08,0.59,67
3502,USC00513117,2012-03-09,4.6,61
3503,USC00513117,2012-03-10,0.4,72
3504,USC00513117,2012-03-11,0.07,74
3505,USC00513117,2012-03-12,0.1,70
3508,USC00513117,2012-03-15,0.03,69
3509,USC00513117,2012-03-16,0.01,70
3511,USC00513117,2012-03-18,0.05,68
3512,USC00513117,2012-03-19,0.07,71
3514,USC00513117,2012-03-21,0.23,70
3515,USC00513117,2012-03-22,0.13,70
3517,USC00513117,2012-03-24,0.06,71
3518,USC00513117,2012-03-25,0.03,70
3519,USC00513117,2012-03-26,0.03,70
3520,USC00513117,2012-03-27,0.12,67
3521,USC00513117,2012-03-28,0.01,69
3528,USC00513117,2012-04-04,0.03,71
3529,USC00513117,2012-04-05,0.02,72
3531,USC00513117,2012-04-07,0.15,72
3533,USC00513117,2012-04-09,0.11,69
3534,USC00513117,2012-04-10,0.03,67
3535,USC00513117,2012-04-11,0.17,70
3536,USC00513117,2012-04-12,0.03,70
3537,USC00513117,2012-04-13,0.02,66
3539,USC00513117,2012-04-15,0.05,70
3540,USC00513117,2012-04-16,0.04,71
3544,USC00513117,2012-04-20,0.02,70
3545,USC00513117,2012-04-21,0.02,70
3546,USC00513117,2012-04-22,0.03,70
3547,USC00513117,2012-04-23,0.11,70
3548,USC00513117,2012-04-24,0.02,70
3549,USC00513117,2012-04-25,0.02,69
3550,USC00513117,2012-04-26,0.02,71
3551,USC00513117,2012-04-27,0.28,68
3555,USC00513117,2012-05-01,0.02,71
3556,USC00513117,2012-05-02,0.13,70
3557,USC00513117,2012-05-03,0.11,70
3558,USC00513117,2012-05-04,0.06,69
3559,USC00513117,2012-05-05,0.1,71
3561,USC00513117,2012-05-07,0.05,71
3565,USC00513117,2012-05-11,0.04,70
3571,USC00513117,2012-05-17,0.02,73
3574,USC00513117,2012-05-20,0.03,72
3575,USC00513117,2012-05-21,0.17,72
3578,USC00513117,2012-05-24,0.07,73
3580,USC00513117,2012-05-26,0.04,70
3581,USC00513117,2012-05-27,0.02,73
3582,USC00513117,2012-05-28,0.01,74
3585,USC00513117,2012-05-31,0.05,72
3586,USC00513117,2012-06-01,0.08,71
3587,USC00513117,2012-06-02,0.03,71
3591,USC00513117,2012-06-06,0.03,73
3596,USC00513117,2012-06-11,0.04,72
3597,USC00513117,2012-06-12,0.02,72
3598,USC00513117,2012-06-13,0.05,70
3599,USC00513117,2012-06-14,0.08,72
3602,USC00513117,2012-06-17,0.02,74
3604,USC00513117,2012-06-19,0.01,73
3605,USC00513117,2012-06-20,0.14,70
3606,USC00513117,2012-06-21,0.02,73
3607,USC00513117,2012-06-22,0.01,72
3608,USC00513117,2012-06-23,0.28,73
3609,USC00513117,2012-06-24,0.27,69
3610,USC00513117,2012-06-25,0.04,72
3611,USC00513117,2012-06-26,0.22,71
3612,USC00513117,2012-06-27,0.23,71
3614,USC00513117,2012-06-29,0.06,73
3616,USC00513117,2012-07-01,0.07,72
3617,USC00513117,2012-07-02,0.05,71
3618,USC00513117,2012-07-03,0.13,72
3619,USC00513117,2012-07-04,0.13,71
3620,USC00513117,2012-07-05,0.04,72
3621,USC00513117,2012-07-06,0.11,73
3622,USC00513117,2012-07-07,0.06,74
3623,USC00513117,2012-07-08,0.01,73
3625,USC00513117,2012-07-10,0.01,73
3626,USC00513117,2012-07-11,0.02,73
3628,USC00513117,2012-07-13,0.18,73
3629,USC00513117,2012-07-14,0.08,75
3631,USC00513117,2012-07-16,0.08,73
3632,USC00513117,2012-07-17,0.11,73
3633,USC00513117,2012-07-18,0.03,74
3634,USC00513117,2012-07-19,0.12,73
3635,USC00513117,2012-07-20,0.8,70
3636,USC00513117,2012-07-21,0.04,75
3638,USC00513117,2012-07-23,0.03,74
3640,USC00513117,2012-07-25,0.01,74
3641,USC00513117,2012-07-26,0.01,73
3643,USC00513117,2012-07-28,0.43,75
3644,USC00513117,2012-07-29,0.09,74
3645,USC00513117,2012-07-30,0.08,74
3646,USC00513117,2012-07-31,0.03,73
3651,USC00513117,2012-08-05,0.1,74
3652,USC00513117,2012-08-06,0.1,73
3653,USC00513117,2012-08-07,0.02,74
3654,USC00513117,2012-08-08,0.04,74
3655,USC00513117,2012-08-09,0.02,75
3657,USC00513117,2012-08-11,0.02,72
3658,USC00513117,2012-08-12,0.08,76
3659,USC00513117,2012-08-13,0.06,75
3660,USC00513117,2012-08-14,0.06,72
3661,USC00513117,2012-08-15,0.01,75
3665,USC00513117,2012-08-20,0.01,75
3666,USC00513117,2012-08-21,0.03,74
3667,USC00513117,2012-08-22,0.02,73
3668,USC00513117,2012-08-23,0.03,75
3671,USC00513117,2012-08-26,0.02,74
3673,USC00513117,2012-08-28,0.06,74
3674,USC00513117,2012-08-29,0.08,72
3675,USC00513117,2012-08-30,0.06,74
3676,USC00513117,2012-08-31,0.04,76
3677,USC00513117,2012-09-01,0.02,74
3678,USC00513117,2012-09-02,0.08,72
3679,USC00513117,2012-09-03,0.09,75
3681,USC00513117,2012-09-05,0.02,74
3682,USC00513117,2012-09-06,0.02,74
3683,USC00513117,2012-09-07,0.07,77
3684,USC00513117,2012-09-08,0.14,74
3685,USC00513117,2012-09-09,0.07,75
3687,USC00513117,2012-09-11,0.18,74
3688,USC00513117,2012-09-12,0.04,74
3689,USC00513117,2012-09-13,0.07,74
3690,USC00513117,2012-09-14,0.04,75
3691,USC00513117,2012-09-15,0.02,72
3693,USC00513117,2012-09-17,0.04,74
3695,USC00513117,2012-09-19,0.25,72
3696,USC00513117,2012-09-20,0.55,71
3698,USC00513117,2012-09-23,0.02,74
3699,USC00513117,2012-09-24,0.07,75
3700,USC00513117,2012-09-25,0.01,74
3702,USC00513117,2012-09-27,0.05,80
3703,USC00513117,2012-09-28,0.01,75
3704,USC00513117,2012-09-29,0.01,74
3706,USC00513117,2012-10-01,0.01,70
3713,USC00513117,2012-10-08,0.04,75
3716,USC00513117,2012-10-11,0.22,75
3719,USC00513117,2012-10-14,0.07,74
3720,USC00513117,2012-10-15,0.09,75
3721,USC00513117,2012-10-16,0.07,73
3724,USC00513117,2012-10-19,0.08,74
3728,USC00513117,2012-10-23,0.02,75
3729,USC00513117,2012-10-24,0.01,73
3730,USC00513117,2012-10-25,0.16,73
3733,USC00513117,2012-10-28,0.02,74
3734,USC00513117,2012-10-29,0.04,73
3735,USC00513117,2012-10-30,0.01,74
3736,USC00513117,2012-10-31,0.03,72
3743,USC00513117,2012-11-07,0.07,74
3744,USC00513117,2012-11-08,0.03,73
3745,USC00513117,2012-11-09,0.03,74
3746,USC00513117,2012-11-10,0.02,74
3749,USC00513117,2012-11-13,0.08,73
3750,USC00513117,2012-11-14,0.07,74
3751,USC00513117,2012-11-15,0.05,73
3752,USC00513117,2012-11-16,0.13,72
3753,USC00513117,2012-11-17,0.03,73
3754,USC00513117,2012-11-18,0.06,72
3755,USC00513117,2012-11-19,0.06,76
3757,USC00513117,2012-11-21,0.01,71
3758,USC00513117,2012-11-22,0.88,67
3760,USC00513117,2012-11-24,0.02,77
3762,USC00513117,2012-11-26,0.03,72
3770,USC00513117,2012-12-04,0.18,68
3771,USC00513117,2012-12-05,0.07,71
3776,USC00513117,2012-12-10,0.03,73
3778,USC00513117,2012-12-12,0.07,71
3779,USC00513117,2012-12-13,0.1,70
3780,USC00513117,2012-12-14,0.08,72
3781,USC00513117,2012-12-15,0.1,71
3782,USC00513117,2012-12-16,0.04,72
3783,USC00513117,2012-12-17,0.02,72
3784,USC00513117,2012-12-18,0.2,71
3785,USC00513117,2012-12-19,0.24,70
3786,USC00513117,2012-12-20,0.08,71
3787,USC00513117,2012-12-21,0.06,71
3788,USC00513117,2012-12-22,0.07,71
3789,USC00513117,2012-12-23,0.02,66
3792,USC00513117,2012-12-26,0.01,72
3796,USC00513117,2012-12-30,0.21,68
3797,USC00513117,2012-12-31,0.17,67
3798,USC00513117,2013-01-01,0.16,71
3799,USC00513117,2013-01-02,0.07,69
3800,USC00513117,2013-01-03,0.23,68
3801,USC00513117,2013-01-04,0.06,71
3802,USC00513117,2013-01-05,0.08,71
3803,USC00513117,2013-01-06,0.19,71
3804,USC00513117,2013-01-07,0.04,71
3805,USC00513117,2013-01-08,0.04,70
3806,USC00513117,2013-01-09,0.16,70
3807,USC00513117,2013-01-10,0.05,71
3811,USC00513117,2013-01-15,1.27,64
3813,USC00513117,2013-01-17,0.1,62
3820,USC00513117,2013-01-24,0.71,67
3821,USC00513117,2013-01-25,0.59,64
3823,USC00513117,2013-01-27,0.03,74
3824,USC00513117,2013-01-28,2.6,64
3825,USC00513117,2013-01-29,0.71,65
3834,USC00513117,2013-02-07,0.16,70
3835,USC00513117,2013-02-08,0.01,70
3837,USC00513117,2013-02-10,0.02,70
3838,USC00513117,2013-02-11,0.07,69
3839,USC00513117,2013-02-12,0.02,68
3840,USC00513117,2013-02-13,0.02,68
3843,USC00513117,2013-02-16,0.04,70
3846,USC00513117,2013-02-19,0.12,69
3847,USC00513117,2013-02-20,0.11,70
3848,USC00513117,2013-02-21,0.05,69
3849,USC00513117,2013-02-22,0.83,69
3850,USC00513117,2013-02-23,0.23,69
3851,USC00513117,2013-02-24,0.09,69
3852,USC00513117,2013-02-25,0.02,68
3853,USC00513117,2013-02-26,0.08,69
3854,USC00513117,2013-02-27,0.03,70
3861,USC00513117,2013-03-06,0.02,69
3862,USC00513117,2013-03-07,0.06,66
3863,USC00513117,2013-03-08,0.15,61
3864,USC00513117,2013-03-09,0.1,70
3865,USC00513117,2013-03-10,1.69,68
3866,USC00513117,2013-03-11,0.8,62
3867,USC00513117,2013-03-12,0.01,66
3868,USC00513117,2013-03-13,0.03,64
3873,USC00513117,2013-03-18,0.49,59
3878,USC00513117,2013-03-23,0.11,66
3879,USC00513117,2013-03-24,0.43,70
3880,USC00513117,2013-03-25,0.8,67
3881,USC00513117,2013-03-26,0.03,67
3883,USC00513117,2013-03-28,0.07,69
3884,USC00513117,2013-03-29,0.07,69
3885,USC00513117,2013-03-30,0.05,69
3886,USC00513117,2013-03-31,0.02,64
3889,USC00513117,2013-04-03,0.02,64
3890,USC00513117,2013-04-04,0.07,65
3893,USC00513117,2013-04-07,0.01,73
3895,USC00513117,2013-04-09,0.02,71
3896,USC00513117,2013-04-10,0.03,71
3897,USC00513117,2013-04-11,0.01,68
3899,USC00513117,2013-04-13,0.01,70
3901,USC00513117,2013-04-15,0.43,69
3902,USC00513117,2013-04-16,0.19,65
3905,USC00513117,2013-04-19,0.03,71
3906,USC00513117,2013-04-20,0.11,77
3908,USC00513117,2013-04-22,0.44,70
3909,USC00513117,2013-04-23,0.37,74
3910,USC00513117,2013-04-24,0.76,67
3911,USC00513117,2013-04-25,0.94,70
3917,USC00513117,2013-05-01,0.04,73
3921,USC00513117,2013-05-05,1.05,72
3922,USC00513117,2013-05-06,0.09,69
3926,USC00513117,2013-05-10,0.1,70
3927,USC00513117,2013-05-11,0.09,74
3928,USC00513117,2013-05-12,0.22,68
3929,USC00513117,2013-05-13,0.95,73
3930,USC00513117,2013-05-14,0.01,73
3935,USC00513117,2013-05-19,0.02,69
3936,USC00513117,2013-05-20,0.54,68
3941,USC00513117,2013-05-25,0.12,74
3942,USC00513117,2013-05-26,0.18,75
3943,USC00513117,2013-05-27,0.02,74
3944,USC00513117,2013-05-28,0.06,73
3945,USC00513117,2013-05-29,0.21,71
3946,USC00513117,2013-05-30,0.74,77
3947,USC00513117,2013-05-31,0.04,74
3948,USC00513117,2013-06-01,0.05,75
3949,USC00513117,2013-06-02,0.02,75
3950,USC00513117,2013-06-03,0.02,75
3953,USC00513117,2013-06-06,0.03,74
3957,USC00513117,2013-06-10,0.02,74
3960,USC00513117,2013-06-13,0.02,74
3961,USC00513117,2013-06-14,0.08,72
3962,USC00513117,2013-06-15,0.01,74
3964,USC00513117,2013-06-17,0.01,74
3965,USC00513117,2013-06-18,0.02,74
3968,USC00513117,2013-06-21,0.22,70
3969,USC00513117,2013-06-22,0.27,75
3970,USC00513117,2013-06-23,0.03,74
3971,USC00513117,2013-06-24,0.02,71
3972,USC00513117,2013-06-25,0.05,71
3973,USC00513117,2013-06-26,1.0,70
3974,USC00513117,2013-06-27,0.1,73
3975,USC00513117,2013-06-28,0.02,71
3976,USC00513117,2013-06-29,0.22,71
3977,USC00513117,2013-06-30,0.01,77
3978,USC00513117,2013-07-02,0.02,75
3979,USC00513117,2013-07-03,0.18,72
3980,USC00513117,2013-07-04,0.01,75
3984,USC00513117,2013-07-08,0.03,75
3986,USC00513117,2013-07-10,0.15,75
3987,USC00513117,2013-07-11,0.05,74
3988,USC00513117,2013-07-12,0.06,74
3989,USC00513117,2013-07-13,0.01,75
3994,USC00513117,2013-07-18,0.03,75
3995,USC00513117,2013-07-19,0.05,74
3996,USC00513117,2013-07-20,0.05,75
3997,USC00513117,2013-07-21,0.01,79
3998,USC00513117,2013-07-22,0.3,74
3999,USC00513117,2013-07-23,0.83,73
4004,USC00513117,2013-07-29,0.16,75
4005,USC00513117,2013-07-30,0.08,78
4006,USC00513117,2013-07-31,0.08,76
4007,USC00513117,2013-08-01,0.06,75
4009,USC00513117,2013-08-03,0.04,77
4010,USC00513117,2013-08-04,0.03,78
4011,USC00513117,2013-08-05,0.02,76
4015,USC00513117,2013-08-09,0.01,72
4016,USC00513117,2013-08-10,1.9,72
4017,USC00513117,2013-08-11,1.09,76
4018,USC00513117,2013-08-12,0.03,76
4020,USC00513117,2013-08-14,0.05,76
4022,USC00513117,2013-08-16,0.07,75
4027,USC00513117,2013-08-21,0.57,73
4035,USC00513117,2013-08-29,0.05,72
4036,USC00513117,2013-08-30,0.04,76
4038,USC00513117,2013-09-01,0.03,76
4039,USC00513117,2013-09-02,0.01,76
4041,USC00513117,2013-09-04,0.16,75
4044,USC00513117,2013-09-07,0.55,73
4045,USC00513117,2013-09-08,0.1,77
4046,USC00513117,2013-09-09,0.05,76
4048,USC00513117,2013-09-11,0.03,76
4050,USC00513117,2013-09-13,0.51,74
4051,USC00513117,2013-09-14,0.18,76
4052,USC00513117,2013-09-15,0.2,78
4054,USC00513117,2013-09-17,0.05,77
4055,USC00513117,2013-09-18,0.06,78
4056,USC00513117,2013-09-19,0.06,77
4057,USC00513117,2013-09-20,0.01,76
4058,USC00513117,2013-09-21,0.02,84
4059,USC00513117,2013-09-22,0.07,77
4060,USC00513117,2013-09-23,0.03,77
4061,USC00513117,2013-09-24,0.1,77
4062,USC00513117,2013-09-25,0.09,75
4063,USC00513117,2013-09-26,0.05,75
4066,USC00513117,2013-09-29,0.08,79
4067,USC00513117,2013-09-30,0.06,76
4071,USC00513117,2013-10-04,0.01,76
4072,USC00513117,2013-10-05,0.01,73
4073,USC00513117,2013-10-06,0.33,76
4075,USC00513117,2013-10-08,0.04,76
4076,USC00513117,2013-10-09,0.05,76
4077,USC00513117,2013-10-10,0.15,72
4078,USC00513117,2013-10-11,0.17,72
4079,USC00513117,2013-10-12,0.63,76
4081,USC00513117,2013-10-14,0.16,73
4082,USC00513117,2013-10-15,0.02,71
4083,USC00513117,2013-10-16,0.27,71
4085,USC00513117,2013-10-18,0.02,73
4091,USC00513117,2013-10-24,0.02,73
4092,USC00513117,2013-10-25,0.11,72
4095,USC00513117,2013-10-28,0.7,72
4096,USC00513117,2013-10-29,0.02,76
4098,USC00513117,2013-10-31,0.07,73
4100,USC00513117,2013-11-02,0.09,73
4102,USC00513117,2013-11-04,0.12,75
4103,USC00513117,2013-11-05,0.01,72
4104,USC00513117,2013-11-06,0.27,71
4105,USC00513117,2013-11-07,0.16,69
4106,USC00513117,2013-11-08,0.04,73
4107,USC00513117,2013-11-09,0.76,74
4108,USC00513117,2013-11-10,3.03,74
4109,USC00513117,2013-11-11,0.27,76
4110,USC00513117,2013-11-12,0.26,65
4111,USC00513117,2013-11-13,0.12,65
4113,USC00513117,2013-11-15,0.76,72
4114,USC00513117,2013-11-16,0.01,76
4116,USC00513117,2013-11-18,0.06,76
4121,USC00513117,2013-11-23,0.1,74
4122,USC00513117,2013-11-24,0.02,67
4126,USC00513117,2013-11-28,0.02,72
4127,USC00513117,2013-11-29,0.13,73
4128,USC00513117,2013-11-30,0.73,77
4130,USC00513117,2013-12-02,0.93,70
4131,USC00513117,2013-12-03,0.8,71
4138,USC00513117,2013-12-10,0.01,76
4139,USC00513117,2013-12-11,0.13,75
4141,USC00513117,2013-12-13,0.01,75
4144,USC00513117,2013-12-16,1.31,68
4145,USC00513117,2013-12-17,0.01,68
4146,USC00513117,2013-12-18,0.01,72
4147,USC00513117,2013-12-19,1.0,70
4148,USC00513117,2013-12-20,0.41,72
4149,USC00513117,2013-12-21,0.01,75
4150,USC00513117,2013-12-22,0.02,69
4151,USC00513117,2013-12-23,0.02,72
4152,USC00513117,2013-12-24,0.01,73
4153,USC00513117,2013-12-25,0.02,73
4154,USC00513117,2013-12-26,0.02,72
4156,USC00513117,2013-12-28,0.02,74
4157,USC00513117,2013-12-29,0.03,73
4159,USC00513117,2013-12-31,0.09,68
4162,USC00513117,2014-01-03,1.59,67
4163,USC00513117,2014-01-04,0.01,71
4164,USC00513117,2014-01-05,0.02,69
4165,USC00513117,2014-01-06,0.19,66
4166,USC00513117,2014-01-07,0.01,71
4168,USC00513117,2014-01-09,0.12,66
4170,USC00513117,2014-01-11,0.14,68
4173,USC00513117,2014-01-14,0.89,72
4174,USC00513117,2014-01-15,0.19,68
4175,USC00513117,2014-01-16,0.04,72
4177,USC00513117,2014-01-18,0.03,67
4179,USC00513117,2014-01-20,0.02,66
4181,USC00513117,2014-01-22,0.65,71
4186,USC00513117,2014-01-27,0.31,68
4187,USC00513117,2014-01-28,0.43,70
4188,USC00513117,2014-01-29,0.51,69
4189,USC00513117,2014-01-30,0.2,66
4191,USC00513117,2014-02-01,0.12,74
4192,USC00513117,2014-02-02,0.27,68
4194,USC00513117,2014-02-04,0.88,67
4195,USC00513117,2014-02-05,0.39,71
4196,USC00513117,2014-02-06,0.05,72
4197,USC00513117,2014-02-07,0.06,70
4198,USC00513117,2014-02-08,1.1,68
4199,USC00513117,2014-02-09,0.36,72
4200,USC00513117,2014-02-10,0.01,72
4204,USC00513117,2014-02-14,0.01,74
4205,USC00513117,2014-02-15,0.33,73
4206,USC00513117,2014-02-16,0.04,73
4207,USC00513117,2014-02-17,0.29,74
4208,USC00513117,2014-02-18,0.16,72
4209,USC00513117,2014-02-19,0.81,71
4210,USC00513117,2014-02-20,0.01,72
4211,USC00513117,2014-02-21,0.12,70
4212,USC00513117,2014-02-22,0.13,71
4215,USC00513117,2014-02-25,0.01,67
4216,USC00513117,2014-02-26,0.08,66
4217,USC00513117,2014-02-27,0.09,69
4218,USC00513117,2014-02-28,0.04,73
4219,USC00513117,2014-03-01,0.16,72
4220,USC00513117,2014-03-02,0.34,70
4221,USC00513117,2014-03-03,0.26,66
4225,USC00513117,2014-03-07,0.12,74
4226,USC00513117,2014-03-08,0.94,67
4227,USC00513117,2014-03-09,0.34,72
4228,USC00513117,2014-03-10,0.05,73
4229,USC00513117,2014-03-11,0.05,72
4232,USC00513117,2014-03-14,0.08,71
4233,USC00513117,2014-03-15,0.1,70
4234,USC00513117,2014-03-16,0.01,69
4235,USC00513117,2014-03-17,0.04,68
4237,USC00513117,2014-03-19,0.01,71
4239,USC00513117,2014-03-21,0.02,72
4243,USC00513117,2014-03-25,0.02,71
4244,USC00513117,2014-03-26,0.45,74
4245,USC00513117,2014-03-27,0.4,72
4246,USC00513117,2014-03-28,1.7,69
4247,USC00513117,2014-03-29,1.6,70
4248,USC00513117,2014-03-30,0.93,73
4249,USC00513117,2014-03-31,0.03,78
4250,USC00513117,2014-04-01,0.03,75
4251,USC00513117,2014-04-02,0.2,73
4252,USC00513117,2014-04-03,0.05,73
4253,USC00513117,2014-04-04,0.01,78
4254,USC00513117,2014-04-05,0.03,73
4255,USC00513117,2014-04-06,0.1,67
4256,USC00513117,2014-04-07,0.23,70
4257,USC00513117,2014-04-08,0.02,69
4260,USC00513117,2014-04-11,0.01,70
4261,USC00513117,2014-04-12,0.39,70
4262,USC00513117,2014-04-13,0.01,72
4263,USC00513117,2014-04-14,0.01,72
4264,USC00513117,2014-04-15,0.01,71
4265,USC00513117,2014-04-16,0.06,72
4266,USC00513117,2014-04-18,0.05,74
4267,USC00513117,2014-04-19,0.14,74
4268,USC00513117,2014-04-20,0.03,72
4269,USC00513117,2014-04-21,0.09,69
4270,USC00513117,2014-04-22,0.12,73
4273,USC00513117,2014-04-25,0.26,72
4274,USC00513117,2014-04-26,0.02,73
4275,USC00513117,2014-04-27,0.2,70
4276,USC00513117,2014-04-28,0.32,68
4278,USC00513117,2014-05-01,0.02,66
4279,USC00513117,2014-05-02,0.57,69
4280,USC00513117,2014-05-03,0.3,71
4281,USC00513117,2014-05-04,0.01,72
4282,USC00513117,2014-05-05,0.02,72
4283,USC00513117,2014-05-06,0.19,72
4285,USC00513117,2014-05-08,0.02,71
4286,USC00513117,2014-05-09,0.13,70
4287,USC00513117,2014-05-10,0.09,73
4288,USC00513117,2014-05-11,0.17,76
4289,USC00513117,2014-05-12,0.48,73
4290,USC00513117,2014-05-13,0.13,71
4293,USC00513117,2014-05-16,0.55,70
4294,USC00513117,2014-05-17,0.12,75
4295,USC00513117,2014-05-18,0.2,79
4297,USC00513117,2014-05-20,0.05,72
4300,USC00513117,2014-05-23,0.15,73
4301,USC00513117,2014-05-24,0.01,74
4302,USC00513117,2014-05-25,0.86,75
4303,USC00513117,2014-05-26,0.28,75
4304,USC00513117,2014-05-27,0.08,74
4305,USC00513117,2014-05-28,0.14,76
4306,USC00513117,2014-05-29,0.02,74
4307,USC00513117,2014-05-30,0.05,74
4308,USC00513117,2014-05-31,0.01,77
4314,USC00513117,2014-06-06,0.13,74
4315,USC00513117,2014-06-07,0.01,74
4316,USC00513117,2014-06-08,0.02,75
4317,USC00513117,2014-06-09,0.02,75
