,id,station,date,prcp,tobs
83,281,USC00519397,2010-11-02,0.01,73
84,288,USC00519397,2010-11-10,0.23,73
85,295,USC00519397,2010-11-20,0.03,69
86,305,USC00519397,2010-12-01,0.04,76
87,312,USC00519397,2010-12-10,1.58,66
88,313,USC00519397,2010-12-11,0.77,69
89,321,USC00519397,2010-12-19,1.4,71
90,325,USC00519397,2010-12-27,0.13,74
91,326,USC00519397,2010-12-28,0.55,71
92,327,USC00519397,2010-12-29,0.06,75
93,328,USC00519397,2010-12-30,0.01,75
94,335,USC00519397,2011-01-06,0.01,65
95,340,USC00519397,2011-01-11,0.09,60
96,342,USC00519397,2011-01-14,0.03,76
97,347,USC00519397,2011-01-19,0.03,64
98,358,USC00519397,2011-01-31,0.22,68
99,365,USC00519397,2011-02-07,1.29,68
100,366,USC00519397,2011-02-08,1.3,71
101,368,USC00519397,2011-02-10,0.29,71
102,371,USC00519397,2011-02-14,0.04,72
103,372,USC00519397,2011-02-15,0.05,70
104,375,USC00519397,2011-02-20,1.72,71
105,377,USC00519397,2011-02-22,0.82,71
106,379,USC00519397,2011-02-24,0.2,68
107,384,USC00519397,2011-03-01,0.1,68
108,387,USC00519397,2011-03-04,0.88,72
109,388,USC00519397,2011-03-05,0.4,69
110,389,USC00519397,2011-03-06,0.03,70
111,391,USC00519397,2011-03-09,0.2,71
112,392,USC00519397,2011-03-10,0.15,71
113,397,USC00519397,2011-03-17,0.01,73
114,398,USC00519397,2011-03-18,0.05,74
115,399,USC00519397,2011-03-19,0.01,74
116,400,USC00519397,2011-03-20,0.02,74
117,402,USC00519397,2011-03-22,0.02,74
118,404,USC00519397,2011-03-24,0.06,73
119,408,USC00519397,2011-03-28,0.04,74
120,411,USC00519397,2011-04-01,0.05,74
121,412,USC00519397,2011-04-02,0.04,75
122,416,USC00519397,2011-04-06,0.09,70
123,417,USC00519397,2011-04-07,1.11,70
124,418,USC00519397,2011-04-08,0.36,70
125,419,USC00519397,2011-04-09,0.02,76
126,425,USC00519397,2011-04-16,0.12,74
127,438,USC00519397,2011-04-30,0.04,76
128,441,USC00519397,2011-05-03,2.1,70
129,442,USC00519397,2011-05-04,0.02,76
130,443,USC00519397,2011-05-05,0.12,74
131,444,USC00519397,2011-05-06,0.12,72
132,445,USC00519397,2011-05-07,0.55,74
133,446,USC00519397,2011-05-08,0.55,73
134,447,USC00519397,2011-05-09,0.02,75
135,448,USC00519397,2011-05-10,0.11,75
136,449,USC00519397,2011-05-11,0.1,75
137,457,USC00519397,2011-05-19,0.01,77
138,460,USC00519397,2011-05-22,0.06,74
139,461,USC00519397,2011-05-23,0.02,78
140,469,USC00519397,2011-05-31,0.05,73
141,470,USC00519397,2011-06-01,0.07,77
142,472,USC00519397,2011-06-03,0.56,73
143,473,USC00519397,2011-06-04,0.89,70
144,477,USC00519397,2011-06-08,0.03,77
145,478,USC00519397,2011-06-09,0.01,77
146,487,USC00519397,2011-06-19,0.05,75
147,488,USC00519397,2011-06-20,0.06,76
148,489,USC00519397,2011-06-21,0.07,76
149,493,USC00519397,2011-06-27,0.01,77
150,494,USC00519397,2011-06-28,0.01,75
151,496,USC00519397,2011-07-01,0.05,77
152,497,USC00519397,2011-07-02,0.02,78
153,500,USC00519397,2011-07-05,0.01,78
154,501,USC00519397,2011-07-06,0.01,76
155,502,USC00519397,2011-07-07,0.01,76
156,504,USC00519397,2011-07-09,0.03,77
157,505,USC00519397,2011-07-10,0.02,77
158,508,USC00519397,2011-07-13,0.15,73
159,512,USC00519397,2011-07-17,0.04,77
160,516,USC00519397,2011-07-21,0.03,77
161,521,USC00519397,2011-07-27,0.04,77
162,522,USC00519397,2011-07-28,0.09,77
163,523,USC00519397,2011-07-29,0.04,78
164,524,USC00519397,2011-07-30,0.12,80
165,529,USC00519397,2011-08-04,0.02,76
166,530,USC00519397,2011-08-05,0.03,78
167,531,USC00519397,2011-08-06,0.01,77
168,541,USC00519397,2011-08-17,0.02,77
169,544,USC00519397,2011-08-20,0.07,77
170,552,USC00519397,2011-08-28,0.05,76
171,553,USC00519397,2011-08-29,0.1,76
172,554,USC00519397,2011-08-30,0.02,78
173,558,USC00519397,2011-09-04,0.03,77
174,567,USC00519397,2011-09-13,0.01,77
175,571,USC00519397,2011-09-17,0.02,77
176,572,USC00519397,2011-09-18,0.04,77
177,576,USC00519397,2011-09-22,0.03,78
178,588,USC00519397,2011-10-07,0.03,78
179,591,USC00519397,2011-10-10,0.02,77
180,592,USC00519397,2011-10-11,0.03,78
181,595,USC00519397,2011-10-14,0.03,78
182,596,USC00519397,2011-10-15,0.02,77
183,598,USC00519397,2011-10-17,0.02,77
184,599,USC00519397,2011-10-18,0.01,76
185,605,USC00519397,2011-10-24,0.14,74
186,606,USC00519397,2011-10-25,1.6,77
187,607,USC00519397,2011-10-26,0.01,76
188,609,USC00519397,2011-10-28,0.05,73
189,610,USC00519397,2011-10-29,0.01,76
190,612,USC00519397,2011-10-31,0.03,76
191,613,USC00519397,2011-11-01,0.58,71
192,614,USC00519397,2011-11-02,0.28,77
193,615,USC00519397,2011-11-03,0.02,77
194,616,USC00519397,2011-11-04,0.01,75
195,621,USC00519397,2011-11-09,0.02,76
196,623,USC00519397,2011-11-11,0.05,74
197,633,USC00519397,2011-11-21,0.01,76
198,634,USC00519397,2011-11-22,0.02,73
199,635,USC00519397,2011-11-23,0.01,75
200,637,USC00519397,2011-11-25,0.01,70
201,638,USC00519397,2011-11-26,0.02,75
202,639,USC00519397,2011-11-27,0.07,73
203,642,USC00519397,2011-11-30,0.02,66
204,643,USC00519397,2011-12-01,0.03,69
205,644,USC00519397,2011-12-02,0.08,68
206,651,USC00519397,2011-12-09,0.13,71
207,652,USC00519397,2011-12-10,0.07,73
208,653,USC00519397,2011-12-11,0.07,73
209,654,USC00519397,2011-12-12,0.08,77
210,655,USC00519397,2011-12-13,0.4,72
211,656,USC00519397,2011-12-14,0.7,71
212,658,USC00519397,2011-12-16,0.01,70
213,659,USC00519397,2011-12-17,0.07,73
214,660,USC00519397,2011-12-18,0.02,69
215,661,USC00519397,2011-12-19,0.15,74
216,662,USC00519397,2011-12-20,0.02,72
217,663,USC00519397,2011-12-21,0.18,71
218,664,USC00519397,2011-12-22,0.03,72
219,665,USC00519397,2011-12-23,0.04,72
220,666,USC00519397,2011-12-24,0.1,70
221,667,USC00519397,2011-12-25,0.03,73
222,673,USC00519397,2011-12-31,0.01,63
223,686,USC00519397,2012-01-16,0.04,75
224,689,USC00519397,2012-01-19,0.02,68
225,697,USC00519397,2012-01-27,0.04,68
226,698,USC00519397,2012-01-28,0.03,72
227,699,USC00519397,2012-01-29,1.03,72
228,700,USC00519397,2012-01-30,0.01,71
229,708,USC00519397,2012-02-07,0.37,71
230,709,USC00519397,2012-02-08,0.28,65
231,710,USC00519397,2012-02-09,0.01,61
232,714,USC00519397,2012-02-13,0.04,72
233,715,USC00519397,2012-02-14,0.01,65
234,719,USC00519397,2012-02-18,0.04,71
235,720,USC00519397,2012-02-19,0.01,72
236,727,USC00519397,2012-02-26,0.05,73
237,728,USC00519397,2012-02-27,0.06,72
238,731,USC00519397,2012-03-01,0.06,73
239,733,USC00519397,2012-03-03,0.03,71
240,734,USC00519397,2012-03-04,0.01,72
241,735,USC00519397,2012-03-05,1.08,67
242,736,USC00519397,2012-03-06,4.0,69
243,737,USC00519397,2012-03-07,2.42,67
244,738,USC00519397,2012-03-08,0.02,69
245,739,USC00519397,2012-03-09,0.19,66
246,740,USC00519397,2012-03-10,0.06,73
247,742,USC00519397,2012-03-12,0.03,71
248,746,USC00519397,2012-03-16,0.05,72
249,752,USC00519397,2012-03-22,0.03,74
250,753,USC00519397,2012-03-23,0.01,72
251,756,USC00519397,2012-03-26,0.11,72
252,757,USC00519397,2012-03-27,0.03,70
253,758,USC00519397,2012-03-28,0.02,71
254,766,USC00519397,2012-04-05,0.19,74
255,768,USC00519397,2012-04-07,0.03,74
256,770,USC00519397,2012-04-09,0.07,72
257,771,USC00519397,2012-04-10,0.05,69
258,772,USC00519397,2012-04-11,0.06,71
259,774,USC00519397,2012-04-13,0.03,71
260,776,USC00519397,2012-04-15,0.01,75
261,777,USC00519397,2012-04-16,0.01,75
262,782,USC00519397,2012-04-21,0.01,74
263,783,USC00519397,2012-04-22,0.04,69
264,784,USC00519397,2012-04-23,0.03,73
265,796,USC00519397,2012-05-05,0.04,74
266,822,USC00519397,2012-05-31,0.01,73
267,823,USC00519397,2012-06-01,0.02,76
268,824,USC00519397,2012-06-02,0.02,76
269,847,USC00519397,2012-06-25,0.03,73
270,848,USC00519397,2012-06-26,0.15,73
271,849,USC00519397,2012-06-27,0.01,75
272,851,USC00519397,2012-06-29,0.05,76
273,855,USC00519397,2012-07-03,0.04,74
274,856,USC00519397,2012-07-04,0.01,77
275,857,USC00519397,2012-07-05,0.03,77
276,859,USC00519397,2012-07-07,0.04,76
277,868,USC00519397,2012-07-16,0.01,78
278,878,USC00519397,2012-07-26,0.02,77
279,881,USC00519397,2012-07-29,0.01,73
280,882,USC00519397,2012-07-30,0.01,78
281,891,USC00519397,2012-08-08,0.02,78
282,898,USC00519397,2012-08-15,0.01,79
283,905,USC00519397,2012-08-22,0.03,77
284,910,USC00519397,2012-08-27,0.02,73
285,911,USC00519397,2012-08-28,1.0,75
286,912,USC00519397,2012-08-29,0.02,78
287,913,USC00519397,2012-08-30,0.04,78
288,915,USC00519397,2012-09-01,0.01,77
289,916,USC00519397,2012-09-02,0.04,76
290,917,USC00519397,2012-09-03,0.06,77
291,919,USC00519397,2012-09-05,0.01,75
292,920,USC00519397,2012-09-06,0.04,77
293,922,USC00519397,2012-09-08,0.06,78
294,926,USC00519397,2012-09-12,0.02,76
295,927,USC00519397,2012-09-13,0.05,76
296,928,USC00519397,2012-09-14,0.04,78
297,932,USC00519397,2012-09-18,0.06,71
298,934,USC00519397,2012-09-20,0.07,76
299,935,USC00519397,2012-09-21,0.08,77
300,937,USC00519397,2012-09-23,0.04,76
301,940,USC00519397,2012-09-26,0.01,76
302,941,USC00519397,2012-09-27,0.02,78
303,944,USC00519397,2012-09-30,0.02,75
304,950,USC00519397,2012-10-06,0.03,73
305,959,USC00519397,2012-10-15,0.02,78
306,972,USC00519397,2012-10-28,0.02,77
307,973,USC00519397,2012-10-29,0.04,77
308,975,USC00519397,2012-10-31,0.02,78
309,984,USC00519397,2012-11-09,0.03,76
310,988,USC00519397,2012-11-13,0.06,77
311,990,USC00519397,2012-11-15,0.08,75
312,991,USC00519397,2012-11-16,0.03,73
313,992,USC00519397,2012-11-17,0.01,74
314,993,USC00519397,2012-11-18,0.03,76
315,999,USC00519397,2012-11-24,0.02,69
316,1001,USC00519397,2012-11-26,0.06,72
317,1009,USC00519397,2012-12-04,0.2,70
318,1010,USC00519397,2012-12-05,0.01,76
319,1018,USC00519397,2012-12-13,0.14,73
320,1019,USC00519397,2012-12-14,0.09,74
321,1020,USC00519397,2012-12-15,0.01,73
322,1021,USC00519397,2012-12-16,0.02,73
323,1022,USC00519397,2012-12-17,0.02,73
324,1023,USC00519397,2012-12-18,0.12,74
325,1025,USC00519397,2012-12-20,0.1,71
326,1030,USC00519397,2012-12-26,0.03,73
327,1035,USC00519397,2012-12-31,0.04,68
328,1036,USC00519397,2013-01-01,0.02,71
329,1037,USC00519397,2013-01-02,0.13,71
330,1038,USC00519397,2013-01-03,0.23,69
331,1039,USC00519397,2013-01-04,0.04,72
332,1040,USC00519397,2013-01-05,0.03,72
333,1041,USC00519397,2013-01-06,0.04,73
334,1042,USC00519397,2013-01-07,0.04,72
335,1044,USC00519397,2013-01-09,0.09,71
336,1050,USC00519397,2013-01-15,0.4,63
337,1059,USC00519397,2013-01-24,0.14,68
338,1060,USC00519397,2013-01-25,0.43,64
339,1063,USC00519397,2013-01-28,1.13,66
340,1064,USC00519397,2013-01-29,0.04,68
341,1072,USC00519397,2013-02-06,0.04,70
342,1073,USC00519397,2013-02-07,0.04,71
343,1075,USC00519397,2013-02-09,0.01,67
344,1085,USC00519397,2013-02-19,0.09,71
345,1086,USC00519397,2013-02-20,0.09,71
346,1087,USC00519397,2013-02-21,0.07,71
347,1088,USC00519397,2013-02-22,0.31,72
348,1089,USC00519397,2013-02-23,0.15,71
349,1090,USC00519397,2013-02-24,0.04,71
350,1092,USC00519397,2013-02-26,0.01,71
351,1093,USC00519397,2013-02-27,0.03,71
352,1103,USC00519397,2013-03-09,0.02,73
353,1104,USC00519397,2013-03-10,1.29,68
354,1105,USC00519397,2013-03-11,0.8,63
355,1106,USC00519397,2013-03-12,0.01,66
356,1117,USC00519397,2013-03-23,0.02,72
357,1119,USC00519397,2013-03-25,0.32,68
358,1122,USC00519397,2013-03-28,0.3,72
359,1123,USC00519397,2013-03-29,0.06,70
360,1124,USC00519397,2013-03-30,0.01,70
361,1125,USC00519397,2013-03-31,0.25,64
362,1131,USC00519397,2013-04-06,0.03,74
363,1136,USC00519397,2013-04-11,0.01,77
364,1140,USC00519397,2013-04-15,0.8,72
365,1141,USC00519397,2013-04-16,0.08,70
366,1144,USC00519397,2013-04-19,0.01,75
367,1147,USC00519397,2013-04-22,0.05,73
368,1148,USC00519397,2013-04-23,0.01,76
369,1149,USC00519397,2013-04-24,0.55,70
370,1150,USC00519397,2013-04-25,0.01,76
371,1159,USC00519397,2013-05-04,0.14,69
372,1160,USC00519397,2013-05-05,0.12,69
373,1161,USC00519397,2013-05-06,0.09,75
374,1173,USC00519397,2013-05-18,0.02,78
375,1174,USC00519397,2013-05-19,0.04,73
376,1175,USC00519397,2013-05-20,0.03,74
377,1183,USC00519397,2013-05-28,0.04,77
378,1185,USC00519397,2013-05-30,0.03,77
379,1187,USC00519397,2013-06-01,0.01,79
380,1200,USC00519397,2013-06-14,0.37,76
381,1204,USC00519397,2013-06-18,0.01,78
382,1206,USC00519397,2013-06-20,0.04,73
383,1207,USC00519397,2013-06-21,0.12,76
384,1208,USC00519397,2013-06-22,0.04,77
385,1209,USC00519397,2013-06-23,0.02,75
386,1210,USC00519397,2013-06-24,0.35,76
387,1211,USC00519397,2013-06-25,0.03,74
388,1212,USC00519397,2013-06-26,0.01,75
389,1215,USC00519397,2013-06-29,0.03,77
390,1216,USC00519397,2013-06-30,0.01,78
391,1219,USC00519397,2013-07-03,0.03,77
392,1227,USC00519397,2013-07-11,0.03,77
393,1228,USC00519397,2013-07-12,0.01,79
394,1237,USC00519397,2013-07-21,0.07,78
395,1244,USC00519397,2013-07-28,0.02,76
396,1245,USC00519397,2013-07-29,0.06,78
397,1246,USC00519397,2013-07-30,0.74,79
398,1247,USC00519397,2013-07-31,0.01,79
399,1248,USC00519397,2013-08-01,0.02,79
400,1257,USC00519397,2013-08-10,0.03,76
401,1258,USC00519397,2013-08-11,0.05,79
402,1261,USC00519397,2013-08-14,0.02,78
403,1263,USC00519397,2013-08-16,0.01,76
404,1268,USC00519397,2013-08-21,0.25,77
405,1279,USC00519397,2013-09-01,0.02,78
406,1285,USC00519397,2013-09-07,0.14,75
407,1286,USC00519397,2013-09-08,0.01,80
408,1290,USC00519397,2013-09-12,0.03,78
409,1291,USC00519397,2013-09-13,0.02,78
410,1292,USC00519397,2013-09-14,0.14,83
411,1293,USC00519397,2013-09-15,0.01,79
412,1295,USC00519397,2013-09-17,0.02,76
413,1296,USC00519397,2013-09-18,0.14,78
414,1297,USC00519397,2013-09-19,0.02,78
415,1299,USC00519397,2013-09-21,0.02,77
416,1300,USC00519397,2013-09-22,0.02,79
417,1301,USC00519397,2013-09-23,0.01,77
418,1302,USC00519397,2013-09-24,0.01,78
419,1303,USC00519397,2013-09-25,0.25,79
420,1304,USC00519397,2013-09-26,0.07,78
421,1307,USC00519397,2013-09-29,0.08,78
422,1308,USC00519397,2013-09-30,0.02,79
423,1322,USC00519397,2013-10-14,0.18,73
424,1323,USC00519397,2013-10-15,0.02,74
425,1336,USC00519397,2013-10-28,0.01,74
426,1341,USC00519397,2013-11-02,0.02,78
427,1343,USC00519397,2013-11-04,0.01,74
428,1346,USC00519397,2013-11-07,0.02,74
429,1348,USC00519397,2013-11-09,0.01,76
430,1349,USC00519397,2013-11-10,1.98,72
431,1350,USC00519397,2013-11-11,0.2,74
432,1354,USC00519397,2013-11-15,0.89,75
433,1369,USC00519397,2013-11-30,0.18,77
434,1371,USC00519397,2013-12-02,2.01,71
435,1372,USC00519397,2013-12-03,0.01,71
436,1379,USC00519397,2013-12-10,0.03,76
437,1382,USC00519397,2013-12-13,0.02,71
438,1385,USC00519397,2013-12-16,1.1,68
439,1386,USC00519397,2013-12-17,0.02,65
440,1388,USC00519397,2013-12-19,0.16,69
441,1389,USC00519397,2013-12-20,0.09,69
442,1390,USC00519397,2013-12-21,0.02,71
443,1393,USC00519397,2013-12-24,0.05,74
444,1394,USC00519397,2013-12-25,0.02,73
445,1403,USC00519397,2014-01-03,0.76,65
446,1409,USC00519397,2014-01-09,0.03,65
447,1412,USC00519397,2014-01-12,0.35,69
448,1414,USC00519397,2014-01-14,0.43,70
449,1415,USC00519397,2014-01-15,0.01,66
450,1416,USC00519397,2014-01-16,0.25,69
451,1422,USC00519397,2014-01-22,0.35,69
452,1427,USC00519397,2014-01-27,0.14,68
453,1428,USC00519397,2014-01-28,0.02,70
454,1429,USC00519397,2014-01-29,0.27,70
455,1430,USC00519397,2014-01-30,0.04,65
456,1432,USC00519397,2014-02-01,0.22,74
457,1433,USC00519397,2014-02-02,0.38,67
458,1435,USC00519397,2014-02-04,0.5,68
459,1436,USC00519397,2014-02-05,0.23,73
460,1437,USC00519397,2014-02-06,0.08,72
461,1438,USC00519397,2014-02-07,0.03,77
462,1446,USC00519397,2014-02-15,0.01,73
463,1448,USC00519397,2014-02-17,0.35,72
464,1449,USC00519397,2014-02-18,0.03,72
465,1460,USC00519397,2014-03-01,0.25,70
466,1461,USC00519397,2014-03-02,0.48,71
467,1462,USC00519397,2014-03-03,0.16,65
468,1466,USC00519397,2014-03-07,0.25,72
469,1467,USC00519397,2014-03-08,0.64,68
470,1468,USC00519397,2014-03-09,0.04,72
471,1470,USC00519397,2014-03-11,0.16,74
472,1485,USC00519397,2014-03-26,0.05,74
473,1490,USC00519397,2014-03-31,0.02,75
474,1491,USC00519397,2014-04-01,0.16,73
475,1492,USC00519397,2014-04-02,0.02,76
476,1493,USC00519397,2014-04-03,0.16,76
477,1497,USC00519397,2014-04-07,0.01,71
478,1502,USC00519397,2014-04-12,0.01,69
479,1503,USC00519397,2014-04-13,0.04,73
480,1504,USC00519397,2014-04-14,0.08,74
481,1506,USC00519397,2014-04-16,0.05,74
482,1508,USC00519397,2014-04-18,0.02,76
483,1509,USC00519397,2014-04-19,0.01,76
484,1511,USC00519397,2014-04-21,0.06,73
485,1512,USC00519397,2014-04-22,0.05,76
486,1515,USC00519397,2014-04-25,0.01,75
487,1516,USC00519397,2014-04-26,0.01,72
488,1517,USC00519397,2014-04-27,0.01,73
489,1518,USC00519397,2014-04-28,0.07,73
490,1525,USC00519397,2014-05-05,0.06,75
491,1526,USC00519397,2014-05-06,0.07,77
492,1527,USC00519397,2014-05-07,0.03,72
493,1530,USC00519397,2014-05-10,0.01,76
494,1532,USC00519397,2014-05-12,0.45,74
495,1539,USC00519397,2014-05-19,0.43,75
496,1541,USC00519397,2014-05-21,0.15,74
497,1545,USC00519397,2014-05-25,0.76,74
498,1546,USC00519397,2014-05-26,0.05,73
499,1547,USC00519397,2014-05-27,0.01,77
500,1548,USC00519397,2014-05-28,0.03,76
501,1553,USC00519397,2014-06-02,0.66,77
502,1554,USC00519397,2014-06-03,0.01,78
503,1558,USC00519397,2014-06-07,0.03,78
504,1566,USC00519397,2014-06-15,0.01,78
505,1568,USC00519397,2014-06-17,0.03,77
506,1569,USC00519397,2014-06-18,0.15,78
507,1570,USC00519397,2014-06-19,0.01,78
508,1571,USC00519397,2014-06-20,0.07,73
509,1572,USC00519397,2014-06-21,0.01,75
510,1573,USC00519397,2014-06-22,0.01,75
511,1574,USC00519397,2014-06-23,0.19,76
512,1576,USC00519397,2014-06-25,0.05,79
513,1577,USC00519397,2014-06-26,0.06,76
514,1578,USC00519397,2014-06-27,0.04,79
515,1580,USC00519397,2014-06-29,0.01,77
516,1581,USC00519397,2014-06-30,0.02,79
517,1583,USC00519397,2014-07-02,0.01,80
518,1584,USC00519397,2014-07-03,0.06,77
519,1585,USC00519397,2014-07-04,0.01,80
520,1586,USC00519397,2014-07-05,0.02,76
521,1587,USC00519397,2014-07-06,0.05,76
522,1590,USC00519397,2014-07-09,0.01,78
523,1597,USC00519397,2014-07-16,0.03,77
524,1598,USC00519397,2014-07-17,0.05,75
525,1599,USC00519397,2014-07-18,0.05,79
526,1601,USC00519397,2014-07-20,1.09,77
527,1604,USC00519397,2014-07-23,0.01,81
528,1608,USC00519397,2014-07-27,0.79,81
529,1618,USC00519397,2014-08-06,0.01,78
530,1619,USC00519397,2014-08-07,0.15,80
531,1626,USC00519397,2014-08-14,0.06,80
532,1636,USC00519397,2014-08-24,0.08,75
533,1637,USC00519397,2014-08-25,0.01,78
534,1638,USC00519397,2014-08-26,0.05,77
535,1639,USC00519397,2014-08-27,0.01,80
536,1640,USC00519397,2014-08-28,0.01,81
537,1647,USC00519397,2014-09-04,0.04,74
538,1648,USC00519397,2014-09-05,0.39,78
539,1657,USC00519397,2014-09-15,0.01,80
540,1661,USC00519397,2014-09-19,0.04,76
541,1662,USC00519397,2014-09-20,0.05,77
542,1663,USC00519397,2014-09-21,0.01,83
543,1667,USC00519397,2014-09-25,0.1,83
544,1669,USC00519397,2014-09-27,0.04,78
545,1670,USC00519397,2014-09-28,0.01,82
546,1671,USC00519397,2014-09-29,0.02,83
547,1672,USC00519397,2014-09-30,0.18,79
548,1673,USC00519397,2014-10-01,0.37,78
549,1678,USC00519397,2014-10-06,0.24,77
550,1679,USC00519397,2014-10-07,1.22,79
551,1685,USC00519397,2014-10-13,0.06,80
552,1686,USC00519397,2014-10-14,0.01,80
553,1687,USC00519397,2014-10-15,0.04,81
554,1690,USC00519397,2014-10-18,0.02,83
555,1691,USC00519397,2014-10-20,2.1,82
556,1693,USC00519397,2014-10-22,0.05,80
557,1694,USC00519397,2014-10-23,0.23,80
558,1700,USC00519397,2014-10-29,0.01,80
559,1701,USC00519397,2014-10-30,0.05,79
560,1702,USC00519397,2014-10-31,0.02,77
561,1703,USC00519397,2014-11-01,0.04,79
562,1707,USC00519397,2014-11-05,0.14,75
563,1708,USC00519397,2014-11-06,0.1,77
564,1710,USC00519397,2014-11-08,0.09,71
565,1714,USC00519397,2014-11-12,0.05,72
566,1717,USC00519397,2014-11-15,0.62,77
567,1718,USC00519397,2014-11-16,0.01,72
568,1722,USC00519397,2014-11-20,0.08,76
569,1726,USC00519397,2014-11-24,0.04,74
570,1732,USC00519397,2014-11-30,0.01,74
571,1734,USC00519397,2014-12-02,0.02,73
572,1735,USC00519397,2014-12-03,0.15,71
573,1736,USC00519397,2014-12-04,0.09,72
574,1743,USC00519397,2014-12-11,0.05,74
575,1744,USC00519397,2014-12-12,0.01,71
576,1746,USC00519397,2014-12-14,0.03,73
577,1747,USC00519397,2014-12-15,0.02,72
578,1748,USC00519397,2014-12-16,0.01,74
579,1749,USC00519397,2014-12-17,0.01,72
580,1755,USC00519397,2014-12-23,0.93,70
581,1756,USC00519397,2014-12-24,0.04,66
582,1757,USC00519397,2014-12-25,0.02,61
583,1763,USC00519397,2014-12-31,0.05,56
584,1765,USC00519397,2015-01-02,0.04,65
585,1766,USC00519397,2015-01-03,0.86,62
586,1767,USC00519397,2015-01-04,0.02,58
587,1769,USC00519397,2015-01-06,0.02,64
588,1787,USC00519397,2015-01-24,0.2,68
589,1788,USC00519397,2015-01-25,0.03,68
590,1798,USC00519397,2015-02-04,0.01,72
591,1799,USC00519397,2015-02-05,0.19,67
592,1804,USC00519397,2015-02-10,0.1,71
593,1808,USC00519397,2015-02-14,0.08,76
594,1809,USC00519397,2015-02-15,0.46,58
